id;date;details;status;payment_method;payment_date;payment_amount
1;2023-01-24T07:18:08;RAM systemic;PAID;CASH_ON_DELIVERY;2023-01-24T11:44:03;5801
2;2023-01-24T01:32:19;Idaho calculating model;ISSUED;CREDIT_CARD;2023-01-24T03:47:16;75071
3;2023-01-24T00:18:17;program SQL;CANCELLED;CREDIT_CARD;2023-01-23T22:57:41;79944
4;2023-01-24T11:12:24;Soft Central;PAID;CASH_ON_DELIVERY;2023-01-24T08:28:05;8068
5;2023-01-24T15:19:16;Bhutanese;CANCELLED;PAYPAL;2023-01-24T17:08:49;87472
6;2023-01-24T03:55:44;Engineer Shirt Court;CANCELLED;PAYPAL;2023-01-24T19:40:11;62834
7;2023-01-24T15:28:06;program transmitting parse;PAID;CREDIT_CARD;2023-01-24T06:28:24;38509
8;2023-01-24T06:09:42;Dynamic iterate;PAID;CREDIT_CARD;2023-01-24T02:26:30;6085
9;2023-01-23T23:03:25;black Maine;PAID;CREDIT_CARD;2023-01-24T01:45:30;11254
10;2023-01-24T12:18:46;Lead Well;CANCELLED;PAYPAL;2023-01-24T01:35:54;85804
