id;placed_date;status;invoice_id;code
1;2023-01-24T13:42:53;COMPLETED;11446;lavender
2;2023-01-24T17:20:53;CANCELLED;64871;e-enable one-to-one
3;2023-01-24T00:23:13;COMPLETED;91159;background out-of-the-box withdrawal
4;2023-01-23T22:36:46;COMPLETED;47588;Concrete
5;2023-01-24T03:39:12;CANCELLED;63689;Car hybrid Generic
6;2023-01-24T02:53:20;CANCELLED;37922;harness Holy United
7;2023-01-24T12:00:45;COMPLETED;15762;Visionary
8;2023-01-24T00:47:30;CANCELLED;1365;Credit Soft Cotton
9;2023-01-24T16:22:03;CANCELLED;52097;Implemented
10;2023-01-24T14:37:42;COMPLETED;61775;solution protocol
